,0,1,2
0,乌鸡白凤丸,药物成分,乌鸡
1,乌鸡白凤丸,药物成分,鹿角胶
2,乌鸡白凤丸,药物成分,鳖甲
3,乌鸡白凤丸,药物成分,牡蛎
4,牡蛎,中文学名,牡蛎
5,牡蛎,拉丁学名,ostreagigasthunberg
6,牡蛎,别称,生蚝
7,牡蛎,界,动物界
8,牡蛎,门,软体动物门
9,牡蛎,纲,瓣鳃纲
10,牡蛎,亚纲,翼形亚纲
11,牡蛎,目,异柱目
12,牡蛎,科,牡蛎科
13,牡蛎,属,牡蛎属
14,牡蛎,种,牡蛎
15,牡蛎,分布区域,温带热带海域
16,牡蛎,中文名,牡蛎
17,牡蛎,别名,蛎黄，海蛎子，蚝，蚵，蛎子
18,乌鸡白凤丸,药物成分,桑螵蛸
19,乌鸡白凤丸,药物成分,人参
20,乌鸡白凤丸,药物成分,黄芪
21,黄芪,中文名,黄耆
22,黄芪,学名,AstragaluspropinquusSchischkin
23,黄芪,别称,膜荚黄芪、黄芪等
24,黄芪,界,植物界
25,黄芪,门,被子植物门
26,黄芪,纲,双子叶植物纲
27,黄芪,亚纲,原始花被亚纲
28,黄芪,目,蔷薇目
29,黄芪,亚目,蔷薇亚目
30,黄芪,科,豆科
31,黄芪,亚科,蝶形花亚科
32,黄芪,族,山羊豆族
33,黄芪,亚族,黄耆亚族
34,黄芪,属,黄耆属
35,黄芪,亚属,黄耆亚属
36,黄芪,组,膜荚组
37,黄芪,种,黄耆
38,黄芪,命名者及年代,Schischkin，1657
39,乌鸡白凤丸,药物成分,当归
40,乌鸡白凤丸,药物成分,白芍
41,乌鸡白凤丸,药物成分,香附
42,乌鸡白凤丸,药物成分,天冬
43,天冬,药品名称,天冬
44,天冬,别名,天门冬
45,天冬,外文名称,RadixAsparagi
46,天冬,是否处方药,否
47,天冬,主要适用症,咳嗽吐血、咽喉肿痛、便秘等
48,天冬,主要用药禁忌,忌食鲤鱼
49,天冬,药品类型,草药
50,天冬,中文名称,天冬
51,天冬,别称,天门冬，炒天冬
52,天冬,界,植物界
53,天冬,科,百合科
54,天冬,分布区域,山西陕西甘肃浙江河南湖北湖南四川贵州云南西藏
55,天冬,外文名,RadixAsparagi（英）CochinchineseAsparagusRoot
56,乌鸡白凤丸,药物成分,甘草
57,乌鸡白凤丸,药物成分,地黄
58,乌鸡白凤丸,药物成分,熟地黄
59,乌鸡白凤丸,药物成分,川芎
60,川芎,中文学名,川芎
61,川芎,拉丁学名,RHIZOMACHUANXIONG
62,川芎,别称,山鞠穷、芎藭、香果、胡藭、马衔、芎藭、雀脑芎、京芎、贯芎等
63,川芎,界,植物界
64,川芎,门,被子植物门Magnoliophyta
65,川芎,纲,双子叶植物纲Magnoliopsida
66,川芎,目,伞形目Apiales
67,川芎,科,伞形科Apiaceae
68,川芎,亚科,芹亚科
69,川芎,族,阿米芹族
70,川芎,属,藁本属Ligusticum
71,川芎,种,川芎L.chuanxiong
72,川芎,二名法,Ligusticumchuanxiong
73,川芎,分布区域,云南、贵州、广西、湖北、江西、浙江、江苏、陕西、甘肃，内蒙古
74,川芎,中文名,川芎
75,川芎,别名,生川军
76,乌鸡白凤丸,药物成分,银柴胡
77,乌鸡白凤丸,药物成分,丹参
78,乌鸡白凤丸,药物成分,山药
79,乌鸡白凤丸,药物成分,芡实
80,芡实,中文学名,芡实
81,芡实,拉丁学名,EuryaleferoxSalisb.exDC
82,芡实,界,植物界
83,芡实,门,被子植物门
84,芡实,纲,双子叶植物纲
85,芡实,目,毛茛目
86,芡实,科,睡莲科
87,芡实,属,芡属
88,芡实,种,芡
89,芡实,分布区域,黑龙江、吉林、辽宁、河北、河南、山东、江苏，安徽、浙江
90,芡实,采收时间,秋末冬初采收
91,芡实,用量,9～15g
92,芡实,毒性,无毒
93,芡实,贮藏,置通风干燥处，防蛀
94,芡实,别称,鸡头米、鸡头苞、鸡头莲
95,芡实,亚纲,原始花被亚纲
96,芡实,亚科,睡莲亚科
97,芡实,功效分类,收涩药；补肾药；健脾药
98,芡实,科属分类,睡莲科
99,乌鸡白凤丸,药物成分,鹿角霜
100,乌鸡白凤丸,药物成分,蜂蜜
101,乌鸡白凤丸,药物剂型,小蜜丸
102,乌鸡白凤丸,药物性味,味甜
103,乌鸡白凤丸,药物性味,微苦
104,乌鸡白凤丸,中药功效,补气养血
105,乌鸡白凤丸,中药功效,调经止带
106,乌鸡白凤丸,症状,月经不调
107,乌鸡白凤丸,症状,经期腹痛
108,乌鸡白凤丸,人群,孕妇
109,孕妇,中文名,孕妇
110,孕妇,外文名,Pregnantwomen
111,孕妇,基本解释,怀孕的妇女
112,孕妇,时间,10个月
113,孕妇,重视,胎教
